STATUS,ID,COLLECTDATE,EVENTTYPE,ROADNAME,DIRECTION,START_TIME,END_TIME,TITLE,CONTENT,REF,POSTDATE,POSTFROM
,418415,2016-07-12,,G93成渝环线高速渝遂段,,7月12日8时50分,,"COORD:	106.130875,29.822264",7月12日8时50分，G93成渝环线渝遂段下行方向绕城渝遂立交至G93沙坪坝主线站K395+300-K396+500封闭施工，上行方向单道双通。施工期间，禁止宽超过3米，高4.2米，长22米的车辆通行，请过往车辆择道行驶，为此带来不便，敬请谅解。预计7月18日恢复。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月12日8时50分,重庆交通出行网
,418414,2016-07-12,,G93成渝环线高速渝遂段,,7月12日9时,,"COORD:	106.130875,29.821073",7月12日9时，G93成渝环线渝遂段上行方向G93沙坪坝主线站至绕城渝遂立交车流量大，通行缓慢。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月12日9时,重庆交通出行网
,418413,2016-07-12,,G85渝昆高速,,7月12日9时,,"COORD:	106.43952536,29.51424626",7月12日9时，G85渝昆高速成渝段下行方向西环至中梁山隧道车流量大，预计通过时间超过15分钟。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月12日9时,重庆交通出行网
,418410,2016-07-12,,G42沪蓉高速,,7月11日12时54分,,"COORD:	107.67239162,30.55041027",7月11日12时54分，G42沪蓉高速长万段云龙至梁平（K1572+900-K1570+600）上行方向封闭施工，下行方向单道双通x，预计7月13日结束。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月11日12时54分,重庆交通出行网
,418394,2016-07-12,,G93成渝环线高速渝遂段,,7月10日8时38分,,"COORD:	106.1103096,29.84542517",7月10日8时38分，G93成渝环线高速铜梁北至铜梁因路段大修，现对该路段下行方向实施封闭施工，上行方向单道双通，四川方向至铜梁下匝道封闭，预计结束时间为7月17日。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月10日8时38分,重庆交通出行网
,418366,2016-07-12,,G5013渝蓉高速,,7月8日0时48分,,"COORD:	105.96551,29.653",7月8日0时48分，G5013渝蓉高速上行方向巴岳山隧道封闭施工，下行方向单道双通。期间宽3.5米，高4.5米以上的超限车辆禁止通行。预计7月28日恢复。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日0时48分,重庆交通出行网
,418359,2016-07-12,,G65包茂高速渝邻段,,7月7日12时8分,,"COORD:	null,null",7月7日12时8分，G65包茂高速渝邻段因养护施工，上行方向高嘴至大湾（K1507-K1502）单道双通，下行方向大湾至高嘴（K1502-K1507）封闭施工。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月7日12时8分,重庆交通出行网
,418319,2016-07-12,,G6911奉溪高速,,7月10日9时,,"COORD:	109.45769251,31.31827468",7月10日9时，G6911奉溪高速杨家湾隧道因养护施工，每日9时至20时，上行方向羊桥坝至夔门K31-K0间断放行，下行方向夔门至羊桥坝K0-K31全幅封闭，巫溪站，羊桥坝站入口对危化品车限流。每日20时至次日9时，夔门至羊桥坝K0-K31双向实施管制，上行方向车辆至羊桥坝收费站下道，下行方向车辆在夔门收费站下道。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月10日9时,重庆交通出行网
,418204,2016-07-12,,G65包茂高速渝湘段,,7月1日21时,,"COORD:	108.76755768,29.16436885",7月1日21时，G65包茂高速渝湘段上行方向K1875+380处因边坡滑坡实施正线管制，下行方向单道双通。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月1日21时,重庆交通出行网
,418202,2016-07-12,,G65包茂高速渝湘段,,7月1日20时,,"COORD:	108.77651,29.21093",7月1日20时，G65包茂高速渝湘段阿蓬江收费站因内广场边坡有滑坡现象，封闭出口2车道，现超宽车不能下道，预计恢复时间为7月31日。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月1日20时,重庆交通出行网
,417890,2016-07-12,,G65包茂高速渝湘段,,6月27日18时,,"COORD:	108.77627676,29.20857857",6月27日18时，G65包茂高速渝湘段下行方向阿蓬江至濯水K1867+300至K1871+100处单道双通已解除，现上行方向K1871+900至K1870+600占用第二车道和应急车道，下行方向占用第一车道。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,6月27日18时,重庆交通出行网
,417440,2016-07-12,,G65包茂高速渝湘段,,6月8日17时,,"COORD:	108.70927454,29.52855638","6月8日17时，G65包茂高速渝湘段黔江西收费站升级改造,禁止货车上下道,预计恢复时间为8月20日。请过往货车择道绕行，带来不便，敬请谅解。",http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,6月8日17时,重庆交通出行网
